pickup_datetime,Borough,passenger_count,trip_distance
2015-01-01,UNKNOWN,77789,0.0
2015-01-02,UNKNOWN,61832,0.0
2015-01-03,UNKNOWN,81955,0.0
2015-01-04,UNKNOWN,62691,0.0
2015-01-05,UNKNOWN,71063,0.0
2015-01-06,UNKNOWN,81722,0.0
2015-01-07,UNKNOWN,93090,0.0
2015-01-08,UNKNOWN,103978,0.0
2015-01-09,UNKNOWN,100710,0.0
2015-01-10,UNKNOWN,103838,0.0
2015-01-11,UNKNOWN,80717,0.0
2015-01-12,UNKNOWN,87703,0.0
2015-01-13,UNKNOWN,94221,0.0
2015-01-14,UNKNOWN,94558,0.0
2015-01-15,UNKNOWN,100055,0.0
2015-01-16,UNKNOWN,105375,0.0
2015-01-17,UNKNOWN,98951,0.0
2015-01-18,UNKNOWN,96891,0.0
2015-01-19,UNKNOWN,67340,0.0
2015-01-20,UNKNOWN,83564,0.0
2015-01-21,UNKNOWN,88385,0.0
2015-01-22,UNKNOWN,95833,0.0
2015-01-23,UNKNOWN,102677,0.0
2015-01-24,UNKNOWN,103768,0.0
2015-01-25,UNKNOWN,80802,0.0
2015-01-26,UNKNOWN,64800,0.0
2015-01-27,UNKNOWN,33171,0.0
2015-01-28,UNKNOWN,88699,0.0
2015-01-29,UNKNOWN,101071,0.0
2015-01-30,UNKNOWN,117671,0.0
2015-01-31,UNKNOWN,121113,0.0
2015-02-01,UNKNOWN,103439,0.0
2015-02-02,UNKNOWN,96774,0.0
2015-02-03,UNKNOWN,105532,0.0
2015-02-04,UNKNOWN,102648,0.0
2015-02-05,UNKNOWN,117165,0.0
2015-02-06,UNKNOWN,123446,0.0
2015-02-07,UNKNOWN,110556,0.0
2015-02-08,UNKNOWN,89470,0.0
2015-02-09,UNKNOWN,92573,0.0
2015-02-10,UNKNOWN,97965,0.0
2015-02-11,UNKNOWN,106943,0.0
2015-02-12,UNKNOWN,117868,0.0
2015-02-13,UNKNOWN,136152,0.0
2015-02-14,UNKNOWN,130072,0.0
2015-02-15,UNKNOWN,116940,0.0
2015-02-16,UNKNOWN,99764,0.0
2015-02-17,UNKNOWN,102953,0.0
2015-02-18,UNKNOWN,104446,0.0
2015-02-19,UNKNOWN,123717,0.0
2015-02-20,UNKNOWN,138194,0.0
2015-02-21,UNKNOWN,124056,0.0
2015-02-22,UNKNOWN,92012,0.0
2015-02-23,UNKNOWN,106383,0.0
2015-02-24,UNKNOWN,114772,0.0
2015-02-25,UNKNOWN,109749,0.0
2015-02-26,UNKNOWN,119592,0.0
2015-02-27,UNKNOWN,125198,0.0
