pickup_datetime,Borough,passenger_count,trip_distance
2019-02-01,Bronx,88920,1026.4259334233018
2019-02-01,Brooklyn,210735,1103.7996156310057
2019-02-01,EWR,33,2598.3939393939395
2019-02-01,Manhattan,418323,1179.0468896044445
2019-02-01,Queens,133830,1216.4586938653515
2019-02-01,Staten Island,8256,964.7916666666666
2019-02-01,Unknown,64,1124.3125
2019-02-02,Bronx,85613,953.1748099003656
2019-02-02,Brooklyn,247256,1088.150839615621
2019-02-02,EWR,33,2524.030303030303
2019-02-02,Manhattan,393683,1116.7605611621534
2019-02-02,Queens,131959,1126.8189664971696
2019-02-02,Staten Island,7788,953.1463790446842
2019-02-02,Unknown,61,1179.360655737705
2019-02-03,Bronx,77937,909.6662560786276
2019-02-03,Brooklyn,221538,1045.152921846365
2019-02-03,EWR,62,2352.2419354838707
2019-02-03,Manhattan,323559,1057.4117085292019
2019-02-03,Queens,126754,1137.0390678006218
2019-02-03,Staten Island,6823,936.7665249890077
2019-02-03,Unknown,48,896.0833333333334
2019-02-04,Bronx,71345,1085.3612726890462
2019-02-04,Brooklyn,146502,1128.437625424909
2019-02-04,EWR,44,2674.3863636363635
2019-02-04,Manhattan,261524,1170.4204700142243
2019-02-04,Queens,106413,1270.8561923825096
2019-02-04,Staten Island,6299,978.8506112081283
2019-02-04,Unknown,43,1004.8372093023256
2019-02-05,Bronx,61981,993.4688049563576
2019-02-05,Brooklyn,141407,1094.459043753138
2019-02-05,EWR,35,2657.0857142857144
2019-02-05,Manhattan,272101,1191.2148907942271
2019-02-05,Queens,95178,1185.3825043602512
2019-02-05,Staten Island,5731,943.9263653812599
2019-02-05,Unknown,43,1108.7441860465117
2019-02-06,Bronx,67097,1023.9252872706678
2019-02-06,Brooklyn,163763,1103.4047006955172
2019-02-06,EWR,24,2938.1666666666665
2019-02-06,Manhattan,324759,1236.8363586536477
2019-02-06,Queens,101532,1221.0917937202064
2019-02-06,Staten Island,6296,988.1316709021601
2019-02-06,Unknown,45,1122.911111111111
2019-02-07,Bronx,66808,1022.6941084900012
2019-02-07,Brooklyn,155002,1120.6138436923395
2019-02-07,EWR,33,2695.181818181818
2019-02-07,Manhattan,318117,1258.3189644061777
2019-02-07,Queens,103084,1244.2014570641418
2019-02-07,Staten Island,6490,1006.497996918336
2019-02-07,Unknown,41,1427.878048780488
2019-02-08,Bronx,83410,1057.7498621268433
2019-02-08,Brooklyn,194414,1126.898062896705
2019-02-08,EWR,31,3206.3870967741937
2019-02-08,Manhattan,369221,1236.6080612966218
2019-02-08,Queens,125101,1261.3330109271708
2019-02-08,Staten Island,7973,991.1329487018688
2019-02-08,Unknown,44,1197.8636363636363
2019-02-09,Bronx,87869,949.113748876168
2019-02-09,Brooklyn,257096,1077.2927583470766
2019-02-09,EWR,31,3008.6129032258063
2019-02-09,Manhattan,420597,1158.722018939745
2019-02-09,Queens,136778,1101.8635453069937
2019-02-09,Staten Island,8069,956.8978807782872
2019-02-09,Unknown,64,943.921875
2019-02-10,Bronx,73196,892.611918684081
2019-02-10,Brooklyn,218668,1034.988041231456
2019-02-10,EWR,58,2513.103448275862
2019-02-10,Manhattan,330125,1080.8087936387733
2019-02-10,Queens,121726,1143.6976159571498
2019-02-10,Staten Island,6096,906.1811023622047
2019-02-10,Unknown,44,1177.9318181818182
2019-02-11,Bronx,67476,1027.9205643488056
2019-02-11,Brooklyn,151169,1096.329816298315
2019-02-11,EWR,47,2628.021276595745
2019-02-11,Manhattan,285290,1143.975912229661
2019-02-11,Queens,106070,1253.1911002168379
2019-02-11,Staten Island,6322,984.2491300221449
2019-02-11,Unknown,47,1309.212765957447
2019-02-12,Bronx,67003,946.6557616823127
2019-02-12,Brooklyn,170004,1016.3619620714807
2019-02-12,EWR,37,2466.7297297297296
2019-02-12,Manhattan,326894,1060.1185093638917
2019-02-12,Queens,103602,1083.78448292504
2019-02-12,Staten Island,6102,931.4023271058669
2019-02-12,Unknown,51,1319.6470588235295
2019-02-13,Bronx,72482,1057.0320355398583
2019-02-13,Brooklyn,167979,1108.637192744331
2019-02-13,EWR,45,3044.6444444444446
2019-02-13,Manhattan,320810,1242.412621177644
2019-02-13,Queens,109691,1277.5712957307346
2019-02-13,Staten Island,6737,983.9480480926228
2019-02-13,Unknown,54,899.4814814814815
2019-02-14,Bronx,79598,1077.7483605115706
2019-02-14,Brooklyn,183432,1160.5153135766932
2019-02-14,EWR,42,3107.4285714285716
2019-02-14,Manhattan,331954,1288.0069226459088
2019-02-14,Queens,121953,1308.0682230039442
