pickup_datetime,Borough,passenger_count,trip_distance
1/1/2015,UNKNOWN,77789,0
1/2/2015,UNKNOWN,61832,0
1/3/2015,UNKNOWN,81955,0
1/4/2015,UNKNOWN,62691,0
1/5/2015,UNKNOWN,71063,0
1/6/2015,UNKNOWN,81722,0
1/7/2015,UNKNOWN,93090,0
1/8/2015,UNKNOWN,103978,0
1/9/2015,UNKNOWN,100710,0
1/10/2015,UNKNOWN,103838,0
1/11/2015,UNKNOWN,80717,0
1/12/2015,UNKNOWN,87703,0
1/13/2015,UNKNOWN,94221,0
1/14/2015,UNKNOWN,94558,0
1/15/2015,UNKNOWN,100055,0
1/16/2015,UNKNOWN,105375,0
1/17/2015,UNKNOWN,98951,0
1/18/2015,UNKNOWN,96891,0
1/19/2015,UNKNOWN,67340,0
1/20/2015,UNKNOWN,83564,0
1/21/2015,UNKNOWN,88385,0
1/22/2015,UNKNOWN,95833,0
1/23/2015,UNKNOWN,102677,0
1/24/2015,UNKNOWN,103768,0
1/25/2015,UNKNOWN,80802,0
1/26/2015,UNKNOWN,64800,0
1/27/2015,UNKNOWN,33171,0
1/28/2015,UNKNOWN,88699,0
1/29/2015,UNKNOWN,101071,0
1/30/2015,UNKNOWN,117671,0
1/31/2015,UNKNOWN,121113,0
2/1/2015,UNKNOWN,103439,0
2/2/2015,UNKNOWN,96774,0
2/3/2015,UNKNOWN,105532,0
2/4/2015,UNKNOWN,102648,0
2/5/2015,UNKNOWN,117165,0
2/6/2015,UNKNOWN,123446,0
2/7/2015,UNKNOWN,110556,0
2/8/2015,UNKNOWN,89470,0
2/9/2015,UNKNOWN,92573,0
2/10/2015,UNKNOWN,97965,0
2/11/2015,UNKNOWN,106943,0
2/12/2015,UNKNOWN,117868,0
2/13/2015,UNKNOWN,136152,0
2/14/2015,UNKNOWN,130072,0
2/15/2015,UNKNOWN,116940,0
2/16/2015,UNKNOWN,99764,0
2/17/2015,UNKNOWN,102953,0
2/18/2015,UNKNOWN,104446,0
2/19/2015,UNKNOWN,123717,0
2/20/2015,UNKNOWN,138194,0
2/21/2015,UNKNOWN,124056,0
2/22/2015,UNKNOWN,92012,0
2/23/2015,UNKNOWN,106383,0
2/24/2015,UNKNOWN,114772,0
2/25/2015,UNKNOWN,109749,0
2/26/2015,UNKNOWN,119592,0
2/27/2015,UNKNOWN,125198,0
2/28/2015,UNKNOWN,118022,0
3/1/2015,UNKNOWN,96463,0
3/2/2015,UNKNOWN,91000,0
3/3/2015,UNKNOWN,108518,0
3/4/2015,UNKNOWN,107331,0
3/5/2015,UNKNOWN,103708,0
3/6/2015,UNKNOWN,118186,0
3/7/2015,UNKNOWN,115237,0
3/8/2015,UNKNOWN,91839,0
3/9/2015,UNKNOWN,87259,0
3/10/2015,UNKNOWN,106096,0
3/11/2015,UNKNOWN,99628,0
3/12/2015,UNKNOWN,110050,0
3/13/2015,UNKNOWN,115527,0
3/14/2015,UNKNOWN,125986,0
3/15/2015,UNKNOWN,93785,0
3/16/2015,UNKNOWN,87680,0
3/17/2015,UNKNOWN,95352,0
3/18/2015,UNKNOWN,105119,0
3/19/2015,UNKNOWN,111690,0
3/20/2015,UNKNOWN,130382,0
3/21/2015,UNKNOWN,113356,0
3/22/2015,UNKNOWN,99858,0
3/23/2015,UNKNOWN,93854,0
3/24/2015,UNKNOWN,96609,0
3/25/2015,UNKNOWN,107442,0
3/26/2015,UNKNOWN,113132,0
3/27/2015,UNKNOWN,121243,0
3/28/2015,UNKNOWN,125388,0
3/29/2015,UNKNOWN,105458,0
3/30/2015,UNKNOWN,94876,0
3/31/2015,UNKNOWN,109375,0
4/1/2015,UNKNOWN,126925,0
4/2/2015,UNKNOWN,131778,0
4/3/2015,UNKNOWN,128635,0
4/4/2015,UNKNOWN,115245,0
4/5/2015,UNKNOWN,103802,0
4/6/2015,UNKNOWN,104007,0
4/7/2015,UNKNOWN,122520,0
4/8/2015,UNKNOWN,127735,0
4/9/2015,UNKNOWN,134453,0
4/10/2015,UNKNOWN,137984,0
4/11/2015,UNKNOWN,130291,0
4/12/2015,UNKNOWN,112993,0
4/13/2015,UNKNOWN,112226,0
4/14/2015,UNKNOWN,120204,0
4/15/2015,UNKNOWN,125351,0
4/16/2015,UNKNOWN,138661,0
4/17/2015,UNKNOWN,142870,0
4/18/2015,UNKNOWN,143311,0
4/19/2015,UNKNOWN,123896,0
4/20/2015,UNKNOWN,139164,0
4/21/2015,UNKNOWN,126516,0
4/22/2015,UNKNOWN,141548,0
4/23/2015,UNKNOWN,152166,0
4/24/2015,UNKNOWN,162279,0
4/25/2015,UNKNOWN,155929,0
4/26/2015,UNKNOWN,134903,0
4/27/2015,UNKNOWN,121231,0
4/28/2015,UNKNOWN,124350,0
