pickup_datetime,Borough,passenger_count,trip_distance
1/1/2015,Unknown,690407,3.235409671
1/2/2015,Unknown,606716,37.7022704
1/3/2015,Unknown,722115,16.71458282
1/4/2015,Unknown,565709,22.25284578
1/5/2015,Unknown,600760,3.40881289
1/6/2015,Unknown,632469,2.717232205
1/7/2015,Unknown,707487,2.628984436
1/8/2015,Unknown,745814,2.644601393
1/9/2015,Unknown,747346,70.2797562
1/10/2015,Unknown,893040,5.813981864
1/11/2015,Unknown,719033,69.86609007
1/12/2015,Unknown,648214,2.795919716
1/13/2015,Unknown,734847,2.670525331
1/14/2015,Unknown,724696,2.74181728
1/15/2015,Unknown,740407,2.80752909
1/16/2015,Unknown,795425,2.796741536
1/17/2015,Unknown,829271,2.668375952
1/18/2015,Unknown,743288,2.835231734
1/19/2015,Unknown,575507,3.09567412
1/20/2015,Unknown,661009,2.786195063
1/21/2015,Unknown,704328,11.65204579
1/22/2015,Unknown,739687,21.48624311
1/23/2015,Unknown,782667,66.6983345
1/24/2015,Unknown,798766,9.82683795
1/25/2015,Unknown,694420,6.880854239
1/26/2015,Unknown,375606,2.633066861
1/27/2015,Unknown,232108,2.222634834
1/28/2015,Unknown,621797,2.744958416
1/29/2015,Unknown,705408,2.756328368
1/30/2015,Unknown,800834,2.682133373
1/31/2015,Unknown,898122,11.53367355
2/1/2015,Unknown,727422,52.28284614
2/2/2015,Unknown,557823,47.10376575
2/3/2015,Unknown,690289,36.83256022
2/4/2015,Unknown,676932,2.754869281
2/5/2015,Unknown,752324,-67.36224299
2/6/2015,Unknown,789104,37.34891236
2/7/2015,Unknown,837278,-79.93866944
2/8/2015,Unknown,702074,7.00974861
2/9/2015,Unknown,619426,57.22086462
2/10/2015,Unknown,690490,5.112741825
2/11/2015,Unknown,729466,19.61361552
2/12/2015,Unknown,761957,15.50520477
2/13/2015,Unknown,808882,74.36222427
2/14/2015,Unknown,871007,2.774174496
2/15/2015,Unknown,796947,4.653342627
2/16/2015,Unknown,697606,3.115038236
2/17/2015,Unknown,658866,20.65433841
2/18/2015,Unknown,720850,2.796017128
2/19/2015,Unknown,786341,6.375982524
2/20/2015,Unknown,828957,16.65248777
2/21/2015,Unknown,788038,2.668770341
2/22/2015,Unknown,682344,42.00356824
2/23/2015,Unknown,710355,6.713890226
2/24/2015,Unknown,731909,2.710572001
2/25/2015,Unknown,728167,2.812665876
2/26/2015,Unknown,770231,2.833142441
2/27/2015,Unknown,809842,3.866160789
2/28/2015,Unknown,864203,2.721967228
3/1/2015,Unknown,660612,28.45238344
3/2/2015,Unknown,632586,26.87428637
3/3/2015,Unknown,646461,24.3848593
3/4/2015,Unknown,712715,49.28530149
3/5/2015,Unknown,606721,25.1135329
3/6/2015,Unknown,747133,21.62229399
3/7/2015,Unknown,874521,33.72032532
3/8/2015,Unknown,708381,11.22309186
3/9/2015,Unknown,643755,15.64003163
3/10/2015,Unknown,677043,55.65943128
3/11/2015,Unknown,700976,29.81256185
3/12/2015,Unknown,758822,2.914783017
3/13/2015,Unknown,796250,16.1781959
3/14/2015,Unknown,861240,2.743232848
3/15/2015,Unknown,720201,24.0907664
3/16/2015,Unknown,615223,44.25177544
3/17/2015,Unknown,684402,2.828094592
3/18/2015,Unknown,745414,2.83876763
3/19/2015,Unknown,742852,3.246753757
3/20/2015,Unknown,764220,3.78521017
3/21/2015,Unknown,810653,6.637441979
3/22/2015,Unknown,736919,5.843470104
3/23/2015,Unknown,641301,-41.63544843
3/24/2015,Unknown,673954,2.855771487
3/25/2015,Unknown,700181,41.50682584
3/26/2015,Unknown,703052,4.039433953
3/27/2015,Unknown,774254,3.541097525
3/28/2015,Unknown,885682,6.093322929
3/29/2015,Unknown,731416,4.908683046
3/30/2015,Unknown,643032,19.10899791
3/31/2015,Unknown,707436,18.9073227
4/1/2015,Unknown,728061,137.9250908
4/2/2015,Unknown,739146,26.20581805
4/3/2015,Unknown,758788,2.901369132
4/4/2015,Unknown,775467,2.74204596
4/5/2015,Unknown,660442,3.376442609
4/6/2015,Unknown,625378,3.102918904
4/7/2015,Unknown,706050,26.46138469
4/8/2015,Unknown,736118,40.38191435
4/9/2015,Unknown,766625,2.845223095
4/10/2015,Unknown,786300,26.1590912
4/11/2015,Unknown,827743,2.844603424
4/12/2015,Unknown,703252,13.54365175
4/13/2015,Unknown,619754,25.37260832
4/14/2015,Unknown,673254,2.920989143
4/15/2015,Unknown,700406,6.141966766
4/16/2015,Unknown,741131,58.64736762
4/17/2015,Unknown,782245,12.12371784
4/18/2015,Unknown,869193,34.79683354
4/19/2015,Unknown,766478,14.56994015
4/20/2015,Unknown,653211,101.1621496
4/21/2015,Unknown,701370,25.95261857
4/22/2015,Unknown,708024,49.82863525
4/23/2015,Unknown,765889,40.7354338
4/24/2015,Unknown,791988,84.89869004
4/25/2015,Unknown,847112,3.182707151
4/26/2015,Unknown,725537,4.489918607
4/27/2015,Unknown,643924,65.11868105
4/28/2015,Unknown,674791,14.28185926
4/29/2015,Unknown,704198,31.57187719
4/30/2015,Unknown,732955,59.95513375
5/1/2015,Unknown,773986,3.297325624
5/2/2015,Unknown,880113,65.75921715
5/3/2015,Unknown,749011,21.68906513
5/4/2015,Unknown,643145,3.122006503
5/5/2015,Unknown,714365,2.920268585
5/6/2015,Unknown,733428,21.65726379
5/7/2015,Unknown,729376,3.02785619
5/8/2015,Unknown,747198,2.994455145
5/9/2015,Unknown,812786,3.963735003
5/10/2015,Unknown,700289,3.28797971
5/11/2015,Unknown,654673,3.111329893
5/12/2015,Unknown,697997,2.966202557
5/13/2015,Unknown,725683,3.01314627
5/14/2015,Unknown,731971,6.452549098
5/15/2015,Unknown,767719,3.167061203
5/16/2015,Unknown,835245,28.65510094
5/17/2015,Unknown,728055,3.391175714
5/18/2015,Unknown,666138,3.120975966
5/19/2015,Unknown,714287,34.98555112
5/20/2015,Unknown,732330,3.200711417
5/21/2015,Unknown,743975,3.023023685
5/22/2015,Unknown,708724,10.24016369
