pickup_datetime,passenger_count,trip_distance
2015-01-01,77789,0.0
2015-01-02,61832,0.0
2015-01-03,81955,0.0
2015-01-04,62691,0.0
2015-01-05,71063,0.0
2015-01-06,81722,0.0
2015-01-07,93090,0.0
2015-01-08,103978,0.0
2015-01-09,100710,0.0
2015-01-10,103838,0.0
2015-01-11,80717,0.0
2015-01-12,87703,0.0
2015-01-13,94221,0.0
2015-01-14,94558,0.0
2015-01-15,100055,0.0
2015-01-16,105375,0.0
2015-01-17,98951,0.0
2015-01-18,96891,0.0
2015-01-19,67340,0.0
2015-01-20,83564,0.0
2015-01-21,88385,0.0
2015-01-22,95833,0.0
2015-01-23,102677,0.0
2015-01-24,103768,0.0
2015-01-25,80802,0.0
2015-01-26,64800,0.0
2015-01-27,33171,0.0
2015-01-28,88699,0.0
2015-01-29,101071,0.0
2015-01-30,117671,0.0
2015-01-31,121113,0.0
2015-02-01,103439,0.0
2015-02-02,96774,0.0
2015-02-03,105532,0.0
2015-02-04,102648,0.0
2015-02-05,117165,0.0
2015-02-06,123446,0.0
2015-02-07,110556,0.0
2015-02-08,89470,0.0
2015-02-09,92573,0.0
2015-02-10,97965,0.0
2015-02-11,106943,0.0
2015-02-12,117868,0.0
2015-02-13,136152,0.0
2015-02-14,130072,0.0
2015-02-15,116940,0.0
2015-02-16,99764,0.0
2015-02-17,102953,0.0
2015-02-18,104446,0.0
2015-02-19,123717,0.0
2015-02-20,138194,0.0
2015-02-21,124056,0.0
2015-02-22,92012,0.0
2015-02-23,106383,0.0
2015-02-24,114772,0.0
2015-02-25,109749,0.0
2015-02-26,119592,0.0
2015-02-27,125198,0.0
2015-02-28,118022,0.0
2015-03-01,96463,0.0
2015-03-02,91000,0.0
2015-03-03,108518,0.0
2015-03-04,107331,0.0
2015-03-05,103708,0.0
2015-03-06,118186,0.0
2015-03-07,115237,0.0
2015-03-08,91839,0.0
2015-03-09,87259,0.0
2015-03-10,106096,0.0
2015-03-11,99628,0.0
2015-03-12,110050,0.0
2015-03-13,115527,0.0
2015-03-14,125986,0.0
2015-03-15,93785,0.0
2015-03-16,87680,0.0
2015-03-17,95352,0.0
2015-03-18,105119,0.0
2015-03-19,111690,0.0
2015-03-20,130382,0.0
2015-03-21,113356,0.0
2015-03-22,99858,0.0
2015-03-23,93854,0.0
2015-03-24,96609,0.0
2015-03-25,107442,0.0
2015-03-26,113132,0.0
2015-03-27,121243,0.0
2015-03-28,125388,0.0
2015-03-29,105458,0.0
2015-03-30,94876,0.0
2015-03-31,109375,0.0
2015-04-01,126925,0.0
2015-04-02,131778,0.0
2015-04-03,128635,0.0
2015-04-04,115245,0.0
2015-04-05,103802,0.0
2015-04-06,104007,0.0
2015-04-07,122520,0.0
2015-04-08,127735,0.0
2015-04-09,134453,0.0
2015-04-10,137984,0.0
2015-04-11,130291,0.0
2015-04-12,112993,0.0
2015-04-13,112226,0.0
2015-04-14,120204,0.0
2015-04-15,125351,0.0
2015-04-16,138661,0.0
2015-04-17,142870,0.0
2015-04-18,143311,0.0
2015-04-19,123896,0.0
2015-04-20,139164,0.0
2015-04-21,126516,0.0
2015-04-22,141548,0.0
2015-04-23,152166,0.0
2015-04-24,162279,0.0
2015-04-25,155929,0.0
2015-04-26,134903,0.0
2015-04-27,121231,0.0
2015-04-28,124350,0.0
2015-04-29,134491,0.0
2015-04-30,142325,0.0
2015-05-01,149994,0.0
2015-05-02,151248,0.0
2015-05-03,125989,0.0
2015-05-04,119309,0.0
2015-05-05,132000,0.0
2015-05-06,137944,0.0
2015-05-07,145599,0.0
2015-05-08,148111,0.0
2015-05-09,144168,0.0
2015-05-10,124611,0.0
2015-05-11,126235,0.0
2015-05-12,134917,0.0
2015-05-13,143397,0.0
2015-05-14,151920,0.0
2015-05-15,156892,0.0
2015-05-16,168910,0.0
2015-05-17,137515,0.0
2015-05-18,131021,0.0
2015-05-19,141911,0.0
2015-05-20,148606,0.0
2015-05-21,153246,0.0
2015-05-22,139276,0.0
2015-05-23,119859,0.0
2015-05-24,107080,0.0
2015-05-25,93976,0.0
2015-05-26,125612,0.0
2015-05-27,144681,0.0
2015-05-28,151593,0.0
2015-05-29,153571,0.0
2015-05-30,148039,0.0
2015-05-31,138837,0.0
2015-06-01,147408,0.0
2015-06-02,152452,0.0
2015-06-03,140627,0.0
2015-06-04,148807,0.0
2015-06-05,153313,0.0
2015-06-06,140768,0.0
2015-06-07,126055,0.0
2015-06-08,127797,0.0
2015-06-09,134255,0.0
2015-06-10,139335,0.0
2015-06-11,155609,0.0
2015-06-12,153964,0.0
2015-06-13,140247,0.0
2015-06-14,127899,0.0
2015-06-15,137361,0.0
2015-06-16,141176,0.0
2015-06-17,146297,0.0
2015-06-18,153221,0.0
2015-06-19,153364,0.0
2015-06-20,140349,0.0
2015-06-21,125314,0.0
2015-06-22,125045,0.0
2015-06-23,146998,0.0
2015-06-24,144552,0.0
2015-06-25,153185,0.0
2015-06-26,149333,0.0
2015-06-27,176872,0.0
2015-06-28,127443,0.0
2015-06-29,119930,0.0
2015-06-30,124907,0.0
2015-07-01,135175,0.0
2015-07-02,128796,0.0
2015-07-03,101997,0.0
2015-07-04,95843,0.0
2015-07-05,100182,0.0
2015-07-06,108162,0.0
2015-07-07,127994,0.0
2015-07-08,136981,0.0
2015-07-09,154918,0.0
2015-07-10,145996,0.0
2015-07-11,147156,0.0
2015-07-12,132941,0.0
2015-07-13,123601,0.0
2015-07-14,142513,0.0
2015-07-15,156273,0.0
2015-07-16,155878,0.0
2015-07-17,152500,0.0
2015-07-18,158876,0.0
2015-07-19,145235,0.0
2015-07-20,142847,0.0
2015-07-21,147303,0.0
2015-07-22,153096,0.0
2015-07-23,160358,0.0
2015-07-24,158918,0.0
2015-07-25,151854,0.0
2015-07-26,135990,0.0
2015-07-27,132925,0.0
2015-07-28,151135,0.0
2015-07-29,162120,0.0
2015-07-30,179356,0.0
2015-07-31,167544,0.0
2015-08-01,180821,0.0
2015-08-02,159842,0.0
2015-08-03,155957,0.0
2015-08-04,170748,0.0
2015-08-05,174992,0.0
2015-08-06,181017,0.0
2015-08-07,183548,0.0
2015-08-08,162893,0.0
2015-08-09,148847,0.0
2015-08-10,146879,0.0
2015-08-11,175943,0.0
2015-08-12,169574,0.0
2015-08-13,177220,0.0
2015-08-14,181908,0.0
2015-08-15,176754,0.0
2015-08-16,160055,0.0
2015-08-17,157832,0.0
2015-08-18,169931,0.0
2015-08-19,177438,0.0
2015-08-20,187111,0.0
2015-08-21,189072,0.0
2015-08-22,180732,0.0
2015-08-23,160462,0.0
2015-08-24,153490,0.0
2015-08-25,161936,0.0
2015-08-26,167877,0.0
2015-08-27,176699,0.0
2015-08-28,183480,0.0
2015-08-29,180359,0.0
2015-08-30,168956,0.0
2015-08-31,160708,0.0
2015-09-01,195918,0.0
2015-09-02,204324,0.0
2015-09-03,216933,0.0
2015-09-04,223478,0.0
2015-09-05,209028,0.0
2015-09-06,195180,0.0
2015-09-07,169494,0.0
2015-09-08,215946,0.0
2015-09-09,237928,0.0
2015-09-10,283250,0.0
2015-09-11,257625,0.0
2015-09-12,268095,0.0
2015-09-13,226351,0.0
2015-09-14,191246,0.0
2015-09-15,206879,0.0
2015-09-16,235052,0.0
2015-09-17,245776,0.0
2015-09-18,259636,0.0
2015-09-19,261851,0.0
2015-09-20,225865,0.0
2015-09-21,202022,0.0
2015-09-22,197743,0.0
2015-09-23,187929,0.0
2015-09-24,204134,0.0
2015-09-25,227387,0.0
2015-09-26,257527,0.0
2015-09-27,221422,0.0
2015-09-28,192274,0.0
2015-09-29,210835,0.0
2015-09-30,223298,0.0
2015-10-01,294140,0.0
2015-10-02,357535,0.0
2015-10-03,293877,0.0
2015-10-04,245966,0.0
2015-10-05,225829,0.0
2015-10-06,238086,0.0
2015-10-07,259987,0.0
2015-10-08,280463,0.0
2015-10-09,307035,0.0
2015-10-10,289144,0.0
2015-10-11,256951,0.0
2015-10-12,213584,0.0
2015-10-13,249101,0.0
2015-10-14,259475,0.0
2015-10-15,282461,0.0
2015-10-16,308159,0.0
2015-10-17,311542,0.0
2015-10-18,276510,0.0
2015-10-19,253209,0.0
2015-10-20,251600,0.0
2015-10-21,262690,0.0
2015-10-22,284296,0.0
2015-10-23,309659,0.0
2015-10-24,310935,0.0
2015-10-25,268018,0.0
2015-10-26,246259,0.0
2015-10-27,257450,0.0
2015-10-28,321912,0.0
2015-10-29,293479,0.0
2015-10-30,326825,0.0
2015-10-31,336360,0.0
2015-11-01,300325,0.0
2015-11-02,246175,0.0
2015-11-03,248887,0.0
2015-11-04,268612,0.0
2015-11-05,295897,0.0
2015-11-06,307953,0.0
2015-11-07,311916,0.0
2015-11-08,273249,0.0
2015-11-09,251183,0.0
2015-11-10,302562,0.0
2015-11-11,261488,0.0
2015-11-12,298435,0.0
2015-11-13,323009,0.0
2015-11-14,333435,0.0
2015-11-15,280148,0.0
2015-11-16,249536,0.0
2015-11-17,270888,0.0
2015-11-18,280993,0.0
2015-11-19,352155,0.0
2015-11-20,325303,0.0
2015-11-21,325890,0.0
2015-11-22,277249,0.0
2015-11-23,273564,0.0
2015-11-24,283114,0.0
2015-11-25,280873,0.0
2015-11-26,236551,0.0
2015-11-27,212675,0.0
2015-11-28,246700,0.0
2015-11-29,239005,0.0
2015-11-30,258742,0.0
2015-12-01,300491,0.0
2015-12-02,295322,0.0
2015-12-03,306438,0.0
2015-12-04,329186,0.0
2015-12-05,323020,0.0
2015-12-06,279285,0.0
2015-12-07,271110,0.0
2015-12-08,287326,0.0
2015-12-09,295253,0.0
2015-12-10,312810,0.0
2015-12-11,335868,0.0
2015-12-12,335418,0.0
2015-12-13,280377,0.0
2015-12-14,284541,0.0
2015-12-15,286903,0.0
2015-12-16,311749,0.0
2015-12-17,365010,0.0
2015-12-18,362323,0.0
2015-12-19,354108,0.0
2015-12-20,292126,0.0
2015-12-21,262636,0.0
2015-12-22,274540,0.0
2015-12-23,290944,0.0
2015-12-24,240893,0.0
2015-12-25,200428,0.0
2015-12-26,193476,0.0
2015-12-27,210632,0.0
2015-12-28,220676,0.0
2015-12-29,227555,0.0
2015-12-30,238784,0.0
2015-12-31,255762,0.0
2016-01-01,286750,0.0
2016-01-02,241760,0.0
2016-01-03,231116,0.0
2016-01-04,259891,0.0
2016-01-05,278457,0.0
2016-01-06,267690,0.0
2016-01-07,272341,0.0
2016-01-08,298670,0.0
2016-01-09,291508,0.0
2016-01-10,277687,0.0
2016-01-11,269529,0.0
2016-01-12,274021,0.0
2016-01-13,304574,0.0
2016-01-14,308592,0.0
2016-01-15,318552,0.0
2016-01-16,308690,0.0
2016-01-17,296477,0.0
2016-01-18,256219,0.0
2016-01-19,317835,0.0
2016-01-20,300062,0.0
2016-01-21,319814,0.0
2016-01-22,353525,0.0
2016-01-23,84680,0.0
2016-01-24,153319,0.0
2016-01-25,272528,0.0
2016-01-26,294591,0.0
2016-01-27,299536,0.0
2016-01-28,314311,0.0
2016-01-29,354874,0.0
2016-01-30,356005,0.0
2016-01-31,293122,0.0
2016-02-01,268872,0.0
2016-02-02,275915,0.0
2016-02-03,321971,0.0
2016-02-04,312912,0.0
2016-02-05,350825,0.0
2016-02-06,340393,0.0
2016-02-07,304803,0.0
2016-02-08,286167,0.0
2016-02-09,291792,0.0
2016-02-10,315306,0.0
2016-02-11,369519,0.0
2016-02-12,391964,0.0
2016-02-13,417186,0.0
2016-02-14,388224,0.0
2016-02-15,286859,0.0
2016-02-16,312839,0.0
2016-02-17,305529,0.0
2016-02-18,332941,0.0
2016-02-19,358918,0.0
2016-02-20,345382,0.0
2016-02-21,302549,0.0
2016-02-22,281686,0.0
2016-02-23,338565,0.0
2016-02-24,358849,0.0
2016-02-25,336480,0.0
2016-02-26,366793,0.0
2016-02-27,354946,0.0
2016-02-28,299653,0.0
2016-02-29,280132,0.0
2016-03-01,287685,0.0
2016-03-02,318476,0.0
2016-03-03,336838,0.0
2016-03-04,367030,0.0
2016-03-05,351386,0.0
2016-03-06,300941,0.0
2016-03-07,278546,0.0
2016-03-08,287535,0.0
2016-03-09,296904,0.0
2016-03-10,316274,0.0
2016-03-11,343973,0.0
2016-03-12,341409,0.0
2016-03-13,286790,0.0
2016-03-14,324452,0.0
2016-03-15,295580,0.0
2016-03-16,312474,0.0
2016-03-17,326747,0.0
2016-03-18,349425,0.0
2016-03-19,346651,0.0
2016-03-20,308147,0.0
2016-03-21,283918,0.0
2016-03-22,292926,0.0
2016-03-23,305999,0.0
2016-03-24,330120,0.0
2016-03-25,326047,0.0
2016-03-26,328008,0.0
2016-03-27,295796,0.0
2016-03-28,292280,0.0
2016-03-29,291040,0.0
2016-03-30,301361,0.0
2016-03-31,299829,0.0
2016-04-01,365034,0.0
2016-04-02,370508,0.0
2016-04-03,331103,0.0
2016-04-04,344697,0.0
2016-04-05,339446,0.0
2016-04-06,340218,0.0
2016-04-07,358666,0.0
2016-04-08,387714,0.0
2016-04-09,408242,0.0
2016-04-10,327340,0.0
2016-04-11,308504,0.0
2016-04-12,330521,0.0
2016-04-13,329095,0.0
2016-04-14,353200,0.0
2016-04-15,380037,0.0
2016-04-16,379054,0.0
2016-04-17,326179,0.0
2016-04-18,300259,0.0
2016-04-19,309634,0.0
2016-04-20,328013,0.0
2016-04-21,339177,0.0
2016-04-22,352083,0.0
2016-04-23,354857,0.0
2016-04-24,305723,0.0
2016-04-25,281621,0.0
2016-04-26,310235,0.0
2016-04-27,312641,0.0
2016-04-28,336882,0.0
2016-04-29,370835,0.0
2016-04-30,360844,0.0
2016-05-01,332890,0.0
2016-05-02,311540,0.0
2016-05-03,358941,0.0
2016-05-04,362678,0.0
2016-05-05,387835,0.0
2016-05-06,444608,0.0
2016-05-07,386698,0.0
2016-05-08,344622,0.0
2016-05-09,304855,0.0
2016-05-10,323602,0.0
2016-05-11,334096,0.0
2016-05-12,360236,0.0
2016-05-13,398217,0.0
2016-05-14,393706,0.0
2016-05-15,351886,0.0
2016-05-16,321581,0.0
2016-05-17,342808,0.0
2016-05-18,349789,0.0
2016-05-19,362722,0.0
2016-05-20,381751,0.0
2016-05-21,398643,0.0
2016-05-22,325321,0.0
2016-05-23,309012,0.0
2016-05-24,334745,0.0
2016-05-25,344434,0.0
2016-05-26,358272,0.0
2016-05-27,366213,0.0
2016-05-28,353971,0.0
2016-05-29,315558,0.0
2016-05-30,274150,0.0
2016-05-31,317188,0.0
2016-06-01,336213,0.0
2016-06-02,365528,0.0
2016-06-03,394452,0.0
2016-06-04,396390,0.0
2016-06-05,341566,0.0
2016-06-06,331990,0.0
2016-06-07,354809,0.0
2016-06-08,396776,0.0
2016-06-09,382190,0.0
2016-06-10,395615,0.0
2016-06-11,396999,0.0
2016-06-12,336850,0.0
