pickup_datetime,passenger_count,trip_distance
2015-01-01,782316,6.458855805
2015-01-02,666661,40.499139785
2015-01-03,797933,19.506014892
2015-01-04,623954,25.238158505
2015-01-05,658176,6.060543921
2015-01-06,688365,5.25682011
2015-01-07,772969,5.136419899
2015-01-08,811443,5.239678081000001
2015-01-09,822016,72.91042049100001
2015-01-10,983869,8.663248728
2015-01-11,790163,72.88095494
2015-01-12,704296,5.488603299
2015-01-13,796217,5.269879285
2015-01-14,784678,5.435114572
2015-01-15,806087,5.553122268
2015-01-16,878317,5.521721344
2015-01-17,921463,5.560631785
2015-01-18,822045,5.7570740019999995
2015-01-19,624709,5.9955069739999995
2015-01-20,716201,5.497043183000001
2015-01-21,763184,14.329488946000001
2015-01-22,802454,24.216425557
2015-01-23,858287,69.458829241
2015-01-24,881147,12.710014256000001
2015-01-25,769395,9.870815146
2015-01-26,415642,5.22121243
2015-01-27,252673,4.60773869
2015-01-28,679756,5.362798352
2015-01-29,770083,5.428318152
2015-01-30,887478,5.310151611
2015-01-31,997580,14.380406604
2015-02-01,809258,55.299944339999996
2015-02-02,614080,49.666646584
2015-02-03,755321,39.47441129
2015-02-04,741249,5.392391659000001
2015-02-05,827595,-64.782512769
2015-02-06,874696,40.045086336
2015-02-07,931603,-77.016535684
2015-02-08,781253,10.012194253
2015-02-09,678267,59.817394444
2015-02-10,752185,7.76788282
2015-02-11,795807,22.260310005
2015-02-12,835942,18.239626919
2015-02-13,905242,77.142300776
2015-02-14,977869,5.778272578
2015-02-15,888118,7.57120472
2015-02-16,762198,6.006136397000001
2015-02-17,715227,23.388385778
2015-02-18,787265,5.51750528
2015-02-19,867118,9.016183267999999
2015-02-20,918630,19.364963937
2015-02-21,877866,5.5314362379999995
2015-02-22,757770,45.04486881
2015-02-23,783365,9.347467597
2015-02-24,800420,5.310842729
2015-02-25,797522,5.516594013
2015-02-26,848192,5.5342546299999995
2015-02-27,904328,6.59000507
2015-02-28,971408,5.627589797
2015-03-01,735959,31.424356675
2015-03-02,696461,29.599613144
2015-03-03,716526,26.905183567999998
2015-03-04,783259,51.983833882
2015-03-05,663819,27.716232452
2015-03-06,835062,24.348525194
2015-03-07,977805,36.630473894
2015-03-08,789077,14.302463211000001
2015-03-09,704302,18.404182014
2015-03-10,746722,58.308523877
2015-03-11,768976,32.618052577
2015-03-12,832479,5.697411048999999
2015-03-13,884731,18.999211357
2015-03-14,962191,5.716616195
2015-03-15,804809,27.074402191
2015-03-16,675144,47.075708848000005
2015-03-17,753396,5.47167581
2015-03-18,815269,5.5185824839999995
2015-03-19,814345,5.980641922
2015-03-20,848733,6.443085364
2015-03-21,907205,9.595175509
2015-03-22,824194,8.864013314
2015-03-23,704299,-38.921752987
2015-03-24,736119,5.581558525
2015-03-25,768511,44.195197887
2015-03-26,775369,6.788274228000001
2015-03-27,861413,6.328141698
2015-03-28,993236,9.023810951
2015-03-29,818434,7.90923948
2015-03-30,703988,21.890344704
2015-03-31,777452,21.567415982
2015-04-01,798613,140.65660977299999
2015-04-02,815501,29.014113358000003
2015-04-03,842155,5.812080652
2015-04-04,871197,5.669321932
2015-04-05,743813,6.454643476999999
2015-04-06,684798,6.012252667
