pickup_datetime,Borough,passenger_count,trip_distance
1/1/2015,Unknown,91909,3.223446134
1/2/2015,Unknown,59945,2.796869385
1/3/2015,Unknown,75818,2.791432072
1/4/2015,Unknown,58245,2.985312725
1/5/2015,Unknown,57416,2.651731031
1/6/2015,Unknown,55896,2.539587905
1/7/2015,Unknown,65482,2.507435463
1/8/2015,Unknown,65629,2.595076688
1/9/2015,Unknown,74670,2.630664291
1/10/2015,Unknown,90829,2.849266864
1/11/2015,Unknown,71130,3.01486487
1/12/2015,Unknown,56082,2.692683583
1/13/2015,Unknown,61370,2.599353954
1/14/2015,Unknown,59982,2.693297292
1/15/2015,Unknown,65680,2.745593178
1/16/2015,Unknown,82892,2.724979808
1/17/2015,Unknown,92192,2.892255833
1/18/2015,Unknown,78757,2.921842268
1/19/2015,Unknown,49202,2.899832854
1/20/2015,Unknown,55192,2.71084812
1/21/2015,Unknown,58856,2.677443156
1/22/2015,Unknown,62767,2.730182447
1/23/2015,Unknown,75620,2.760494741
1/24/2015,Unknown,82381,2.883176306
1/25/2015,Unknown,74975,2.989960907
1/26/2015,Unknown,40036,2.588145569
1/27/2015,Unknown,20565,2.385103856
1/28/2015,Unknown,57959,2.617839936
1/29/2015,Unknown,64675,2.671989784
1/30/2015,Unknown,86644,2.628018238
1/31/2015,Unknown,99458,2.846733054
2/1/2015,Unknown,81836,3.0170982
2/2/2015,Unknown,56257,2.562880834
2/3/2015,Unknown,65032,2.64185107
2/4/2015,Unknown,64317,2.637522378
2/5/2015,Unknown,75271,2.579730221
2/6/2015,Unknown,85592,2.696173976
2/7/2015,Unknown,94325,2.922133756
2/8/2015,Unknown,79179,3.002445643
2/9/2015,Unknown,58841,2.596529824
2/10/2015,Unknown,61695,2.655140995
2/11/2015,Unknown,66341,2.646694485
2/12/2015,Unknown,73985,2.734422149
2/13/2015,Unknown,96360,2.780076506
2/14/2015,Unknown,106862,3.004098082
2/15/2015,Unknown,91171,2.917862093
2/16/2015,Unknown,64592,2.891098161
2/17/2015,Unknown,56361,2.734047368
2/18/2015,Unknown,66415,2.721488152
2/19/2015,Unknown,80777,2.640200744
2/20/2015,Unknown,89673,2.712476167
2/21/2015,Unknown,89828,2.862665897
2/22/2015,Unknown,75426,3.04130057
2/23/2015,Unknown,73010,2.633577371
2/24/2015,Unknown,68511,2.600270728
2/25/2015,Unknown,69355,2.703928137
2/26/2015,Unknown,77961,2.701112189
2/27/2015,Unknown,94486,2.723844281
2/28/2015,Unknown,107205,2.905622569
3/1/2015,Unknown,75347,2.971973235
3/2/2015,Unknown,63875,2.725326774
3/3/2015,Unknown,70065,2.520324268
3/4/2015,Unknown,70544,2.698532392
3/5/2015,Unknown,57098,2.602699552
3/6/2015,Unknown,87929,2.726231204
3/7/2015,Unknown,103284,2.910148574
3/8/2015,Unknown,80696,3.079371351
3/9/2015,Unknown,60547,2.764150384
3/10/2015,Unknown,69679,2.649092597
3/11/2015,Unknown,68000,2.805490727
3/12/2015,Unknown,73657,2.782628032
3/13/2015,Unknown,88481,2.821015457
3/14/2015,Unknown,100951,2.973383347
3/15/2015,Unknown,84608,2.983635791
3/16/2015,Unknown,59921,2.823933408
3/17/2015,Unknown,68994,2.643581218
3/18/2015,Unknown,69855,2.679814854
3/19/2015,Unknown,71493,2.733888165
3/20/2015,Unknown,84513,2.657875194
3/21/2015,Unknown,96552,2.95773353
3/22/2015,Unknown,87275,3.02054321
3/23/2015,Unknown,62998,2.713695443
3/24/2015,Unknown,62165,2.725787038
3/25/2015,Unknown,68330,2.688372047
3/26/2015,Unknown,72317,2.748840275
3/27/2015,Unknown,87159,2.787044173
3/28/2015,Unknown,107554,2.930488022
3/29/2015,Unknown,87018,3.000556434
3/30/2015,Unknown,60956,2.781346794
3/31/2015,Unknown,70016,2.660093282
4/1/2015,Unknown,70552,2.731518973
4/2/2015,Unknown,76355,2.808295308
4/3/2015,Unknown,83367,2.91071152
4/4/2015,Unknown,95730,2.927275972
4/5/2015,Unknown,83371,3.078200868
4/6/2015,Unknown,59420,2.909333763
4/7/2015,Unknown,65350,2.733935955
4/8/2015,Unknown,68344,2.7831187
4/9/2015,Unknown,70892,2.863659756
4/10/2015,Unknown,81235,2.890446222
4/11/2015,Unknown,102999,2.975196589
4/12/2015,Unknown,86109,3.058916864
4/13/2015,Unknown,60921,2.835785008
4/14/2015,Unknown,59922,2.797841417
4/15/2015,Unknown,65484,2.819595824
4/16/2015,Unknown,72691,2.84354363
4/17/2015,Unknown,82088,2.916772351
4/18/2015,Unknown,105581,3.096923667
4/19/2015,Unknown,90610,3.108455183
4/20/2015,Unknown,63212,2.707537668
4/21/2015,Unknown,61280,2.790177813
4/22/2015,Unknown,68328,2.693929286
4/23/2015,Unknown,75878,2.731802356
4/24/2015,Unknown,90681,2.787055495
4/25/2015,Unknown,105858,3.01104957
4/26/2015,Unknown,87531,3.109854317
4/27/2015,Unknown,60211,2.813782163
4/28/2015,Unknown,59923,2.787168472
4/29/2015,Unknown,66124,2.749553244
4/30/2015,Unknown,72993,2.820060666
5/1/2015,Unknown,90866,2.831600314
5/2/2015,Unknown,115017,3.002940152
5/3/2015,Unknown,91791,3.2056244
5/4/2015,Unknown,61613,2.826834095
5/5/2015,Unknown,64643,2.800100325
5/6/2015,Unknown,69057,2.862797249
5/7/2015,Unknown,74814,2.850780139
5/8/2015,Unknown,87185,2.873687726
5/9/2015,Unknown,103446,3.068852419
5/10/2015,Unknown,91603,3.132915301
5/11/2015,Unknown,63714,2.899107397
5/12/2015,Unknown,63863,2.843485093
5/13/2015,Unknown,70720,2.83017622
5/14/2015,Unknown,75113,2.934242397
5/15/2015,Unknown,88217,2.992627439
5/16/2015,Unknown,106674,3.117945793
5/17/2015,Unknown,86517,3.239356396
5/18/2015,Unknown,63890,2.976431653
5/19/2015,Unknown,65621,2.900256287
5/20/2015,Unknown,70425,2.910691015
5/21/2015,Unknown,74967,2.898987021
5/22/2015,Unknown,82963,2.936115278
5/23/2015,Unknown,90850,3.059980377
5/24/2015,Unknown,80401,3.177023354
5/25/2015,Unknown,60742,3.202782955
5/26/2015,Unknown,60284,2.886890394
5/27/2015,Unknown,66943,2.795313118
5/28/2015,Unknown,71257,2.875358453
5/29/2015,Unknown,83773,2.914206782
5/30/2015,Unknown,102553,3.081358537
5/31/2015,Unknown,90201,3.025729388
6/1/2015,Unknown,70615,2.692128848
6/2/2015,Unknown,67505,2.632238501
6/3/2015,Unknown,68908,2.795951382
6/4/2015,Unknown,73106,2.852718594
6/5/2015,Unknown,87065,2.872602705
6/6/2015,Unknown,102897,3.038358832
6/7/2015,Unknown,90854,3.174487739
6/8/2015,Unknown,61580,2.857079412
6/9/2015,Unknown,61453,2.840751939
6/10/2015,Unknown,65254,2.834773687
6/11/2015,Unknown,73671,2.840956674
6/12/2015,Unknown,86233,2.872257797
6/13/2015,Unknown,97671,3.04951692
6/14/2015,Unknown,89985,3.083357274
6/15/2015,Unknown,63920,2.798216933
6/16/2015,Unknown,62463,2.784814677
6/17/2015,Unknown,66655,2.78146571
6/18/2015,Unknown,68164,2.837277998
6/19/2015,Unknown,81717,2.844576166
6/20/2015,Unknown,93248,2.944022709
6/21/2015,Unknown,85594,3.018261821
6/22/2015,Unknown,60333,2.853830795
6/23/2015,Unknown,65081,2.746623453
6/24/2015,Unknown,65572,2.826617531
6/25/2015,Unknown,70512,2.839253596
6/26/2015,Unknown,80110,2.905522605
6/27/2015,Unknown,105431,2.888636807
6/28/2015,Unknown,76224,3.05993685
6/29/2015,Unknown,56573,2.927299804
6/30/2015,Unknown,58946,2.850867593
7/1/2015,Unknown,67468,2.87172402
7/2/2015,Unknown,70347,2.88437654
7/3/2015,Unknown,71217,2.987506152
7/4/2015,Unknown,75879,3.072864901
7/5/2015,Unknown,71432,3.135501641
7/6/2015,Unknown,53844,2.864748908
7/7/2015,Unknown,56478,2.807622305
7/8/2015,Unknown,60610,2.775114001
7/9/2015,Unknown,67176,2.795838836
7/10/2015,Unknown,73929,2.898044883
7/11/2015,Unknown,91879,3.040453955
7/12/2015,Unknown,77278,3.117306477
7/13/2015,Unknown,53865,2.887557974
7/14/2015,Unknown,55827,2.80267047
7/15/2015,Unknown,59705,2.85529429
7/16/2015,Unknown,62925,2.935393174
7/17/2015,Unknown,64227,2.974580567
7/18/2015,Unknown,88068,3.028847034
7/19/2015,Unknown,84764,3.087817805
7/20/2015,Unknown,58717,2.854466402
7/21/2015,Unknown,58110,2.86876626
7/22/2015,Unknown,60877,2.891375398
7/23/2015,Unknown,64851,2.954904988
7/24/2015,Unknown,76097,2.950328993
7/25/2015,Unknown,93810,3.098218375
7/26/2015,Unknown,78777,3.153085764
7/27/2015,Unknown,54503,2.899196153
7/28/2015,Unknown,57648,2.834941347
7/29/2015,Unknown,62030,2.866213662
7/30/2015,Unknown,66970,2.847182695
7/31/2015,Unknown,79750,2.875095527
8/1/2015,Unknown,94699,3.082522377
8/2/2015,Unknown,80602,3.145146208
8/3/2015,Unknown,56288,2.863993151
8/4/2015,Unknown,56860,2.906223937
8/5/2015,Unknown,59157,2.888918141
8/6/2015,Unknown,63890,2.981124698
8/7/2015,Unknown,73680,2.943416952
8/8/2015,Unknown,91207,3.093904546
8/9/2015,Unknown,76404,3.193425399
8/10/2015,Unknown,51955,2.958706446
8/11/2015,Unknown,54801,2.880598539
8/12/2015,Unknown,58518,2.906915686
